Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","8530_SMDPassiveBuzzer","MagneticBuzzer_Kobitone_254-EMB84Q-RO",141.605000,-133.985000,-90.000000,top
"C1","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",161.290000,-95.250000,90.000000,top
"C2","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",161.290000,-100.330000,90.000000,top
"C3","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",68.580000,-123.190000,-90.000000,top
"C5","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",148.590000,-100.330000,90.000000,top
"C6","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",145.415000,-65.405000,-90.000000,top
"C7","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",147.320000,-85.725000,-90.000000,top
"C11","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",52.832000,-96.012000,90.000000,top
"C15","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",97.155000,-42.672000,180.000000,top
"C16","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",84.328000,-134.620000,180.000000,top
"C19","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",35.052000,-61.468000,-45.000000,top
"C21","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",84.328000,-132.207000,180.000000,top
"C26","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",103.378000,-130.568500,90.000000,top
"C27","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",153.797000,-91.059000,90.000000,top
"C28","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",147.878800,-133.248400,-90.000000,top
"C30","47u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",88.341200,-142.455500,-90.000000,top
"C31","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",84.632800,-141.122400,180.000000,top
"C32","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",164.973000,-96.367600,0.000000,top
"D1","1N4148W","D_SOD-123-BigDiodeSilkscreen",91.313000,-152.273000,90.000000,top
"D2","1N4148W","D_SOD-123-BigDiodeSilkscreen",106.045000,-164.846000,90.000000,top
"D3","1N4148W","D_SOD-123-BigDiodeSilkscreen",76.581000,-195.453000,90.000000,top
"D4","1N4148W","D_SOD-123-BigDiodeSilkscreen",68.961000,-177.546000,90.000000,top
"D5","1N4148W","D_SOD-123-BigDiodeSilkscreen",121.412000,-158.369000,90.000000,top
"D6","1N4148W","D_SOD-123-BigDiodeSilkscreen",97.155000,-185.801000,90.000000,top
"D7","1N4148W","D_SOD-123-BigDiodeSilkscreen",53.975000,-164.846000,90.000000,top
"D8","1N4148W","D_SOD-123-BigDiodeSilkscreen",111.048800,-178.790600,90.000000,top
"D9","1N4148W","D_SOD-123-BigDiodeSilkscreen",65.151000,-147.955000,90.000000,top
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm-TriangleSilkscreen",81.915000,-60.960000,0.000000,top
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm-TriangleSilkscreen",98.425000,-60.960000,0.000000,top
"D13","940nmIR_5mmLED","LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm",91.445000,-40.040000,180.000000,top
"D14","940nmIR_5mmLED","LED_D5.0mm_Horizontal_O3.81mm_Z3.0mm",107.320000,-40.040000,180.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm-TriangleSilkscreen",114.935000,-60.960000,0.000000,top
"D16","1N4148W","D_SOD-123-BigDiodeSilkscreen",150.266400,-133.120400,90.000000,top
"D17","PMEG2005EGW","D_SOD-123-BigDiodeSilkscreen",130.810000,-144.602200,-90.000000,top
"FB1","0R","L_1206_3216Metric_Pad1.42x1.75mm_HandSolder",78.740000,-126.607900,-90.000000,top
"J1","RGB_OUT","PinHeader_1x03_P2.54mm_Vertical",123.825000,-62.850000,180.000000,top
"J2","CC_MODULE","PinSocket_2x04_P2.54mm_Vertical_PinNumberFlipped",37.040827,-57.654838,135.000000,top
"J4","Expose_GPIOs","PinHeader_1x07_P2.54mm_Vertical",134.902754,-56.975554,-135.000000,top
"J5","I2C_Pins","PinSocket_1x04_P2.54mm_Vertical",110.363000,-119.913400,-90.000000,top
"J6","Power_Pins","PinSocket_2x04_P2.54mm_Vertical_PinNumberFlipped",115.209000,-133.360000,0.000000,top
"J7","Expose_SDPins","PinHeader_1x05_P2.54mm_Vertical",119.576033,-139.819833,45.000000,top
"L1","2.2uH","L_Wuerth_HCI-1040",76.454000,-138.176000,-90.000000,top
"Q2","MMBT3904","SOT-23",54.102000,-106.426000,90.000000,top
"Q7","MMBT3904","SOT-23",167.894000,-93.268800,-90.000000,top
"R1","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",59.690000,-121.920000,0.000000,top
"R2","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",59.690000,-124.460000,0.000000,top
"R3","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",71.120000,-123.190000,-90.000000,top
"R4","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",73.660000,-123.190000,-90.000000,top
"R10","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",51.435000,-84.455000,0.000000,top
"R11","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",57.150000,-110.236000,90.000000,top
"R15","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.160000,-146.685000,180.000000,top
"R16","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",140.335000,-142.875000,90.000000,top
"R19","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.160000,-142.875000,-90.000000,top
"R20","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",143.510000,-142.875000,90.000000,top
"R21","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",137.160000,-149.225000,180.000000,top
"R27","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",106.172000,-130.556000,90.000000,top
