Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","AA_Battery","BatteryHolder_2AA",-92.329000,-146.050000,-90.000000,bottom
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-81.915000,-60.960000,0.000000,bottom
"C8","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-81.407000,-127.254000,-90.000000,bottom
"C9","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-98.425000,-60.960000,0.000000,bottom
"C10","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-83.947000,-127.254000,-90.000000,bottom
"C12","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-93.853000,-127.254000,90.000000,bottom
"C13","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-96.393000,-127.254000,90.000000,bottom
"C14","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-114.935000,-60.960000,0.000000,bottom
"C17","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-130.175000,-140.970000,-90.000000,bottom
"C18","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-84.328000,-134.620000,180.000000,bottom
"C20","10n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-152.857200,-123.799600,90.000000,bottom
"C22","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-149.148800,-123.240800,0.000000,bottom
"C23","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-88.011000,-135.763000,-90.000000,bottom
"C24","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-85.344000,-140.843000,-90.000000,bottom
"C25","NC","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-150.495000,-133.350000,90.000000,bottom
"C29","47u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-84.328000,-132.283200,180.000000,bottom
"D12","PMEG2005EGW","D_SOD-123-BigDiodeSilkscreen",-85.725000,-43.180000,-90.000000,bottom
"J3","Micro_SD_Card_Det","Conn_uSDcard",-143.510000,-146.685000,-110.000000,bottom
"Q1","MMBT3904","SOT-23",-61.595000,-134.620000,90.000000,bottom
"Q3","IRF9321PbF","SOIC-8_3.9x4.9mm_P1.27mm",-129.540000,-123.825000,180.000000,bottom
"Q4","MMBT3904","SOT-23",-149.860000,-127.635000,90.000000,bottom
"Q5","MMBT3904","SOT-23",-146.685000,-133.350000,90.000000,bottom
"Q6","MMBT3904","SOT-23",-93.472000,-138.430000,-90.000000,bottom
"R5","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-66.675000,-139.065000,180.000000,bottom
"R6","2K2","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-66.675000,-135.255000,180.000000,bottom
"R7","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-92.710000,-46.990000,180.000000,bottom
"R8","2K2","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-135.890000,-132.080000,-90.000000,bottom
"R9","10R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-86.995000,-46.990000,180.000000,bottom
"R12","3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-118.872000,-130.302000,-90.000000,bottom
"R13","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-121.920000,-130.302000,-90.000000,bottom
"R14","22","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-151.358600,-118.745000,-90.000000,bottom
"R17","330","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-144.145000,-123.190000,0.000000,bottom
"R18","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-148.590000,-118.745000,90.000000,bottom
"R22","3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-144.145000,-127.635000,0.000000,bottom
"R23","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-90.424000,-140.843000,-90.000000,bottom
"R24","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-87.884000,-140.843000,-90.000000,bottom
"R25","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-97.790000,-138.938000,180.000000,bottom
"R26","2K2","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-94.234000,-135.128000,180.000000,bottom
"R33","NC","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-152.882600,-128.803400,-90.000000,bottom
"U1","PCF8574T","SOIC-16W_7.5x10.3mm_P1.27mm",-69.850000,-125.095000,180.000000,bottom
"U2","LuatOS-ESP32S3-Module","Module_ESP32S3_LuatOS",-156.952949,-75.270050,-176.000000,bottom
"U3","AMS1117-3.3","SOT-223-3_TabPin2",-88.900000,-125.730000,90.000000,bottom
