Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","AA_Battery","BatteryHolder_2AA",-92.329000,-146.050000,-90.000000,bottom
"C4","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-81.915000,-60.960000,0.000000,bottom
"C8","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-81.407000,-127.254000,-90.000000,bottom
"C9","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-98.425000,-60.960000,0.000000,bottom
"C10","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-83.947000,-127.254000,-90.000000,bottom
"C12","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-93.853000,-127.254000,90.000000,bottom
"C13","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-96.393000,-127.254000,90.000000,bottom
"C14","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-114.935000,-60.960000,0.000000,bottom
"C17","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-130.175000,-140.970000,-90.000000,bottom
"C18","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-84.328000,-134.620000,180.000000,bottom
"C20","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-120.370600,-44.450000,180.000000,bottom
"C23","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-88.011000,-135.763000,-90.000000,bottom
"C24","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-85.344000,-140.843000,-90.000000,bottom
"C29","47u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-84.328000,-132.283200,180.000000,bottom
"C39","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-168.884600,-90.703400,90.000000,bottom
"C49","30p","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-148.793200,-105.410000,90.000000,bottom
"C51","30p","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-156.743400,-105.460800,-90.000000,bottom
"C52","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",-142.036800,-105.587800,180.000000,bottom
"D12","PMEG2005EGW","D_SOD-123-BigDiodeSilkscreen",-85.725000,-43.180000,-90.000000,bottom
"J3","Micro_SD_Card_Det","Conn_uSDcard",-143.510000,-146.685000,-110.000000,bottom
"J8","FPC0.5-24P","Jushuo_AFC07-S24FCA-00_1x24-1MP_P0.50_Horizontal",-118.694200,-40.527200,0.000000,bottom
"J9","USB Type-C Port","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-162.947233,-98.219054,-105.500000,bottom
"Q1","MMBT3904","SOT-23",-61.595000,-134.620000,90.000000,bottom
"Q3","IRF9321PbF","SOIC-8_3.9x4.9mm_P1.27mm",-129.540000,-123.825000,180.000000,bottom
"Q4","AO3400A","SOT-23",-149.860000,-127.635000,90.000000,bottom
"Q5","MMBT3904","SOT-23",-141.503400,-87.782400,90.000000,bottom
"Q6","MMBT3904","SOT-23",-93.472000,-138.430000,-90.000000,bottom
"Q8","MMBT3904","SOT-23",-138.099800,-89.712800,-90.000000,bottom
"R5","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-66.675000,-139.065000,180.000000,bottom
"R6","2K2","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-66.675000,-135.255000,180.000000,bottom
"R7","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-92.710000,-46.990000,180.000000,bottom
"R8","2K2","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-135.890000,-132.080000,-90.000000,bottom
"R9","10R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-86.995000,-46.990000,180.000000,bottom
"R12","3K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-118.872000,-130.302000,-90.000000,bottom
"R13","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-121.920000,-130.302000,-90.000000,bottom
"R22","47K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-145.719800,-122.961400,0.000000,bottom
"R23","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-90.424000,-140.843000,-90.000000,bottom
"R24","100","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-87.884000,-140.843000,-90.000000,bottom
"R25","10K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-97.790000,-138.938000,180.000000,bottom
"R26","2K2","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-94.234000,-135.128000,180.000000,bottom
"R35","12K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-137.490200,-94.107000,-90.000000,bottom
"R43","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",-153.136600,-102.133400,180.000000,bottom
"U1","PCF8574T","SOIC-16W_7.5x10.3mm_P1.27mm",-69.850000,-125.095000,180.000000,bottom
"U2","ESP32-S3-WROOM-1-N16R8","ESP32-S3-WROOM-1",-156.145456,-80.273510,176.000000,bottom
"U3","AMS1117-3.3","SOT-223-3_TabPin2",-88.900000,-125.730000,90.000000,bottom
"U10","CH334R","QSOP-16_3.9x4.9mm_P0.635mm",-151.892000,-98.120200,0.000000,bottom
"U11","CH343P","QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm",-142.544800,-99.898200,180.000000,bottom
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",-152.781000,-105.613200,0.000000,bottom
